idEntrenador,Temporada,Equipo,PJ,PG,PE,PP
9,2020-21,24,38,26,8,4
9,2021-22,24,38,21,8,9
9,2022-23,24,38,23,8,7
9,2023-24,24,34,21,4,9
10,2008-09,199,38,15,8,15
10,2009-10,199,33,11,7,15
10,2010-11,2,38,24,10,4
10,2011-12,2,38,24,8,6
10,2012-13,2,38,21,9,8
10,2013-14,2,19,5,7,7
10,2014-15,9,38,26,9,3
10,2015-16,9,38,29,4,5
10,2016-17,9,38,29,4,5
10,2017-18,9,38,30,5,3
10,2018-19,9,38,28,6,4
10,2021-22,9,38,20,10,8
10,2022-23,9,38,22,6,10
10,2023-24,9,35,18,12,5
11,1991-92,0,28,20,4,4
11,1992-93,0,34,20,9,5
11,1993-94,0,34,26,2,6
11,1994-95,0,34,27,7,0
11,1995-96,0,34,26,5,3
11,1996-97,0,34,17,10,7
11,1997-98,5,38,23,5,10
11,1998-99,5,38,24,7,7
11,1999-00,5,38,19,7,12
11,2002-03,5,19,6,5,8
11,2005-06,0,34,23,5,6
11,2006-07,0,34,21,9,4
11,2007-08,0,34,11,10,13
11,2008-09,0,34,25,5,4
11,2009-10,3,34,20,10,4
11,2010-11,3,29,15,7,7
11,2014-15,8,38,20,10,8
11,2015-16,8,38,19,9,10
12,1991-92,14,38,20,12,6
12,1992-93,14,33,17,5,11
12,1993-94,14,34,15,9,10
12,1994-95,14,34,20,9,5
12,1995-96,14,34,19,11,4
12,1996-97,14,34,19,6,9
12,1998-99,3,34,24,6,4
12,1999-00,3,34,22,7,5
12,2000-01,3,34,19,6,9
12,2001-02,3,34,20,8,6
12,2002-03,3,34,23,6,5
12,2003-04,3,34,20,8,6
12,2006-07,3,15,8,2,5
12,2007-08,3,34,22,10,2
14,1986-87,2,5,2,2,1
14,1991-92,2,34,22,12,0
14,1992-93,2,34,18,14,2
14,1993-94,2,34,19,12,3
14,1994-95,2,34,17,9,8
14,1995-96,2,34,21,10,3
14,1996-97,1,42,27,11,4
14,1997-98,2,34,11,11,12
14,1999-00,0,34,14,12,8
14,2000-01,0,34,22,9,3
14,2001-02,0,34,19,13,2
14,2002-03,0,34,13,10,11
14,2003-04,0,34,21,8,5
14,2004-05,9,38,26,8,4
14,2005-06,9,38,27,10,1
14,2006-07,1,38,23,7,8
15,1973-74,2,6,1,4,1
15,1975-76,2,30,15,8,7
15,1976-77,9,30,23,5,2
15,1977-78,9,30,15,14,1
15,1978-79,9,30,12,13,5
15,1979-80,9,30,16,6,8
15,1980-81,9,30,17,10,3
15,1981-82,9,30,19,8,3
15,1982-83,9,30,15,9,6
15,1983-84,9,30,17,9,4
15,1984-85,9,30,11,14,5
15,1985-86,9,30,18,9,3
15,1986-87,7,30,15,8,7
15,1987-88,7,30,11,10,9
15,1988-89,7,34,26,6,2
15,1989-90,7,34,17,10,7
15,1990-91,7,34,18,10,6
15,1991-92,9,34,18,12,4
15,1992-93,9,34,15,9,10
15,1993-94,9,34,17,13,4
15,1994-95,3,34,15,13,6
15,1995-96,199,21,7,3,11
15,1996-97,3,34,20,11,3
15,1997-98,3,34,19,9,6
15,1998-99,39,34,16,8,10
15,1999-00,39,34,13,12,9
15,2004-05,10,34,19,8,7
15,2005-06,151,20,5,12,3
16,1989-90,0,34,6,16,12
16,1990-91,0,17,2,5,10
16,1992-93,108,34,14,8,12
16,1993-94,90,34,12,12,10
16,1994-95,9,34,23,4,7
16,1995-96,9,34,19,8,7
16,1996-97,9,34,17,14,3
16,1997-98,9,34,21,11,2
16,1998-99,9,20,7,6,7
16,1999-00,7,34,17,7,10
16,2000-01,7,1,0,0,1
16,2001-02,9,34,20,11,3
16,2002-03,9,34,21,9,4
16,2003-04,9,34,21,6,7
