idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
20,2023-01-01,Group stage,21,80,Philips Stadion,2,2,0,1,0,0.0,0.0,100.0,100.0,0.0,28.57,33.33,66.67,0.0,0.29,0.33,1.0,528.3963227783452,24.018014671742968,0.0,0.0,33.33,66.67,0.0,0.0,1.0,368.99897854954037,15.374957439564179
21,2023-01-01,Group stage,7,10,Stadio Giuseppe Meazza,1,0,1,0,0,0.0,66.67,33.33,33.33,0.0,57.14,66.67,33.33,0.0,0.57,0.67,1.29,540.2962206332993,24.55891911969542,20.0,0.0,33.33,66.67,0.2,0.0,1.4,376.7620020429009,17.125545547404585
22,2023-01-01,Group stage,153,3,Parken,1,2,0,0,1,0.0,100.0,0.0,0.0,0.0,28.57,66.67,0.0,33.33,0.29,0.67,1.29,483.9121552604699,20.16300646918624,54.55,66.67,33.33,0.0,0.55,0.67,1.45,675.2298263534217,29.35781853710529
23,2023-01-01,Group stage,90,1,Stadio Diego Armando Maradona,2,3,0,0,1,66.67,0.0,33.33,0.0,100.0,42.86,33.33,66.67,0.0,0.43,0.33,1.43,531.4606741573034,23.10698583292623,63.64,50.0,50.0,0.0,0.64,0.5,1.73,685.4443309499487,31.156560497724943
24,2023-01-01,Group stage,328,31,Stade Bollaert-Delelis,2,1,1,0,0,100.0,0.0,0.0,0.0,100.0,20.0,50.0,50.0,0.0,0.2,0.5,0.8,373.13585291113367,18.65679264555669,44.44,60.0,20.0,20.0,0.44,0.6,2.0,688.3043922369765,29.92627792334681
25,2023-01-01,Group stage,24,22,Estadio Cívitas Metropolitano,3,2,1,0,0,0.0,0.0,100.0,100.0,0.0,44.44,75.0,0.0,25.0,0.44,0.75,2.22,677.9366700715015,30.815303185068252,40.0,66.67,0.0,33.33,0.4,0.67,1.4,412.00204290091926,17.166751787538303
26,2023-01-01,Group stage,191,92,Bosuilstadion,2,3,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,0.8,371.4504596527068,18.57252298263534,40.0,66.67,0.0,33.33,0.4,0.67,1.4,364.0960163432073,17.33790554015273
27,2023-01-01,Group stage,307,28,St James' Park,4,1,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.4,385.64862104187944,16.76733134964693,45.45,50.0,33.33,16.67,0.45,0.5,1.64,698.6210418794687,33.267668660927086
28,2023-01-01,Group stage,12,5,Estádio Do Dragão,0,1,0,0,1,100.0,0.0,0.0,0.0,100.0,85.71,100.0,0.0,0.0,0.86,1.0,2.29,533.2482124616955,21.329928498467822,55.56,80.0,0.0,20.0,0.56,0.8,2.11,676.8130745658835,27.072522982635345
29,2023-01-01,Group stage,16,99,Celtic Park,1,2,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,50.0,0.0,0.2,0.5,0.8,377.1195097037794,16.39650042190345,42.86,75.0,25.0,0.0,0.43,0.75,0.86,524.1573033707865,24.959871589085072
30,2023-01-01,Group stage,68,15,Red Bull Arena,1,3,0,0,1,80.0,20.0,0.0,20.0,60.0,57.14,66.67,0.0,33.33,0.57,0.67,1.86,497.8038815117466,21.643647022249855,77.78,80.0,0.0,20.0,0.78,0.8,2.78,748.7742594484166,29.950970377936663
