idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
23,2023-01-01,Group stage,90,1,Stadio Diego Armando Maradona,2,3,0,0,1,66.67,0.0,33.33,0.0,100.0,42.86,33.33,66.67,0.0,0.43,0.33,1.43,0.0,,63.64,50.0,50.0,0.0,0.64,0.5,1.73,0.0,
24,2023-01-01,Group stage,328,31,Stade Bollaert-Delelis,2,1,1,0,0,100.0,0.0,0.0,0.0,100.0,20.0,50.0,50.0,0.0,0.2,0.5,0.8,0.0,,44.44,60.0,20.0,20.0,0.44,0.6,2.0,0.0,
25,2023-01-01,Group stage,24,22,Estadio Cívitas Metropolitano,3,2,1,0,0,0.0,0.0,100.0,100.0,0.0,44.44,75.0,0.0,25.0,0.44,0.75,2.22,0.0,,40.0,66.67,0.0,33.33,0.4,0.67,1.4,0.0,
26,2023-01-01,Group stage,191,92,Bosuilstadion,2,3,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,0.8,0.0,,40.0,66.67,0.0,33.33,0.4,0.67,1.4,0.0,
27,2023-01-01,Group stage,307,28,St James' Park,4,1,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.4,0.0,,45.45,50.0,33.33,16.67,0.45,0.5,1.64,0.0,
28,2023-01-01,Group stage,12,5,Estádio Do Dragão,0,1,0,0,1,100.0,0.0,0.0,0.0,100.0,85.71,100.0,0.0,0.0,0.86,1.0,2.29,0.0,,55.56,80.0,0.0,20.0,0.56,0.8,2.11,0.0,
29,2023-01-01,Group stage,16,99,Celtic Park,1,2,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,50.0,0.0,0.2,0.5,0.8,0.0,,42.86,75.0,25.0,0.0,0.43,0.75,0.86,0.0,
30,2023-01-01,Group stage,68,15,Red Bull Arena,1,3,0,0,1,80.0,20.0,0.0,20.0,60.0,57.14,66.67,0.0,33.33,0.57,0.67,1.86,0.0,,77.78,80.0,0.0,20.0,0.78,0.8,2.78,0.0,
31,2023-01-01,Group stage,14,2,Signal Iduna Park,0,0,0,1,0,0.0,0.0,100.0,100.0,0.0,45.45,60.0,40.0,0.0,0.45,0.6,1.36,0.0,,40.0,33.33,33.33,33.33,0.4,0.33,1.0,0.0,
32,2023-01-01,Group stage,20,67,Stadion Rajko Mitić,2,2,0,1,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.0,0.0,
33,2023-01-01,Group stage,7,184,Stadio Giuseppe Meazza,2,1,1,0,0,0.0,0.0,100.0,100.0,0.0,57.14,66.67,33.33,0.0,0.57,0.67,1.14,0.0,,20.0,0.0,0.0,100.0,0.2,0.0,0.6,0.0,
34,2023-01-01,Group stage,50,3,RAMS Park,1,3,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,0.0,100.0,0.0,0.2,0.0,1.8,0.0,,54.55,66.67,33.33,0.0,0.55,0.67,1.36,0.0,
35,2023-01-01,Group stage,8,153,Old Trafford,1,0,1,0,0,100.0,0.0,0.0,33.33,66.67,0.0,0.0,0.0,100.0,0.0,0.0,2.2,0.0,,28.57,50.0,0.0,50.0,0.29,0.5,1.43,0.0,
36,2023-01-01,Group stage,10,69,Estádio do Sport Lisboa e Benfica,0,1,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,0.0,50.0,50.0,0.2,0.0,1.4,0.0,,28.57,25.0,50.0,25.0,0.29,0.25,1.0,0.0,
37,2023-01-01,Group stage,308,1,Estádio Municipal de Braga,1,2,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,0.0,50.0,50.0,0.2,0.0,1.0,0.0,,63.64,50.0,50.0,0.0,0.64,0.5,1.82,0.0,
38,2023-01-01,Group stage,80,31,Estadio Ramón Sánchez Pizjuán,1,2,0,0,1,100.0,0.0,0.0,33.33,66.67,0.0,0.0,50.0,50.0,0.0,0.0,1.2,0.0,,33.33,60.0,20.0,20.0,0.33,0.6,1.89,0.0,
