idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
148,2022-01-01,Group stage,2,235,Stadio Giuseppe Meazza,3,1,1,0,0,0.0,0.0,100.0,100.0,0.0,36.36,60.0,0.0,40.0,0.36,0.6,1.09,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,0.6,0.0,
149,2022-01-01,Group stage,92,16,Stadion Miejski Legii Warszawa im. Marsz...,1,1,0,1,0,80.0,20.0,0.0,40.0,40.0,20.0,0.0,50.0,50.0,0.2,0.0,1.4,0.0,,0.0,0.0,33.33,66.67,0.0,0.0,0.6,0.0,
150,2022-01-01,Group stage,49,90,Ibrox Stadium,0,3,0,0,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.4,0.0,,66.67,80.0,20.0,0.0,0.67,0.8,2.56,0.0,
151,2022-01-01,Group stage,11,184,Stamford Bridge,1,1,0,1,0,0.0,0.0,100.0,100.0,0.0,55.56,75.0,0.0,25.0,0.56,0.75,1.22,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,0.8,0.0,
152,2022-01-01,Group stage,15,14,Etihad Stadium,2,1,1,0,0,40.0,40.0,20.0,40.0,20.0,58.33,100.0,0.0,0.0,0.58,1.0,2.5,0.0,,42.86,50.0,50.0,0.0,0.43,0.5,1.43,0.0,
153,2022-01-01,Group stage,153,80,Parken,0,0,0,1,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.2,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.2,0.0,
154,2022-01-01,Group stage,9,10,Allianz Stadium,1,2,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.6,0.0,,55.56,60.0,20.0,20.0,0.56,0.6,2.67,0.0,
155,2022-01-01,Group stage,1,68,Estadio Santiago Bernabéu,2,0,1,0,0,33.33,33.33,33.33,33.33,33.33,63.64,80.0,20.0,0.0,0.64,0.8,2.18,0.0,,57.14,50.0,25.0,25.0,0.57,0.5,2.0,0.0,
156,2022-01-01,Group stage,298,28,Sammy Ofer Stadium,1,3,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.2,0.0,,42.86,50.0,25.0,25.0,0.43,0.5,1.86,0.0,
157,2022-01-01,Group stage,3,299,Allianz Arena,5,0,1,0,0,33.33,0.0,66.67,100.0,0.0,77.78,75.0,25.0,0.0,0.78,0.75,1.89,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,
158,2022-01-01,Group stage,17,87,Orange Vélodrome,4,1,1,0,0,0.0,0.0,100.0,100.0,0.0,20.0,0.0,0.0,100.0,0.2,0.0,0.8,0.0,,40.0,33.33,0.0,66.67,0.4,0.33,1.4,0.0,
159,2022-01-01,Group stage,4,49,Anfield,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,57.14,66.67,0.0,33.33,0.57,0.67,2.43,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,0.4,0.0,
160,2022-01-01,Group stage,12,37,Estádio Do Dragão,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,42.86,33.33,33.33,33.33,0.43,0.33,1.43,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,0.8,0.0,
161,2022-01-01,Group stage,41,33,Deutsche Bank Park,0,0,0,1,0,100.0,0.0,0.0,0.0,100.0,42.86,33.33,0.0,66.67,0.43,0.33,1.0,0.0,,42.86,50.0,50.0,0.0,0.43,0.5,1.14,0.0,
162,2022-01-01,Group stage,7,5,Stadio Giuseppe Meazza,1,0,1,0,0,55.56,33.33,11.11,11.11,55.56,50.0,60.0,20.0,20.0,0.5,0.6,1.5,0.0,,40.0,33.33,33.33,33.33,0.4,0.33,2.4,0.0,
163,2022-01-01,Group stage,6,90,Johan Cruyff ArenA,1,6,0,0,1,100.0,0.0,0.0,0.0,100.0,40.0,50.0,0.0,50.0,0.4,0.5,2.0,0.0,,66.67,80.0,20.0,0.0,0.67,0.8,2.22,0.0,
164,2022-01-01,Group stage,38,24,Jan Breydelstadion,2,0,1,0,0,33.33,66.67,0.0,0.0,33.33,28.57,33.33,0.0,66.67,0.29,0.33,0.86,0.0,,20.0,33.33,66.67,0.0,0.2,0.33,1.0,0.0,
165,2022-01-01,Group stage,68,16,Red Bull Arena,3,1,1,0,0,0.0,0.0,100.0,100.0,0.0,42.86,33.33,33.33,33.33,0.43,0.33,1.57,0.0,,0.0,0.0,33.33,66.67,0.0,0.0,0.6,0.0,
166,2022-01-01,Group stage,184,235,Red Bull Arena,1,0,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.8,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,0.8,0.0,
167,2022-01-01,Group stage,11,2,Stamford Bridge,3,0,1,0,0,0.0,0.0,100.0,100.0,0.0,44.44,50.0,25.0,25.0,0.44,0.5,1.0,0.0,,45.45,66.67,0.0,33.33,0.45,0.67,1.36,0.0,
168,2022-01-01,Group stage,10,28,Estádio do Sport Lisboa e Benfica,1,1,0,1,0,66.67,33.33,0.0,33.33,33.33,66.67,75.0,0.0,25.0,0.67,0.75,2.78,0.0,,57.14,50.0,25.0,25.0,0.57,0.5,2.14,0.0,
169,2022-01-01,Group stage,15,153,Etihad Stadium,5,0,1,0,0,33.33,33.33,33.33,66.67,0.0,58.33,100.0,0.0,0.0,0.58,1.0,2.25,0.0,,0.0,0.0,100.0,0.0,0.0,0.0,0.2,0.0,
170,2022-01-01,Group stage,1,92,Estadio Santiago Bernabéu,2,1,1,0,0,42.86,14.29,42.86,57.14,28.57,63.64,80.0,20.0,0.0,0.64,0.8,2.18,0.0,,20.0,0.0,66.67,33.33,0.2,0.0,1.4,0.0,
171,2022-01-01,Group stage,80,14,Estadio Ramón Sánchez Pizjuán,1,4,0,0,1,0.0,66.67,33.33,0.0,33.33,20.0,50.0,0.0,50.0,0.2,0.5,1.0,0.0,,28.57,50.0,50.0,0.0,0.29,0.5,1.0,0.0,
172,2022-01-01,Group stage,9,298,Allianz Stadium,3,1,1,0,0,66.67,0.0,33.33,66.67,33.33,0.0,0.0,0.0,100.0,0.0,0.0,1.2,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.2,0.0,
173,2022-01-01,Group stage,153,15,Parken,0,0,0,1,0,66.67,0.0,33.33,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.2,0.0,,66.67,100.0,0.0,0.0,0.67,1.0,2.67,0.0,
174,2022-01-01,Group stage,298,9,Sammy Ofer Stadium,2,0,1,0,0,66.67,0.0,33.33,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.8,0.0,
175,2022-01-01,Group stage,16,68,Celtic Park,0,2,0,0,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.8,0.0,,42.86,50.0,25.0,25.0,0.43,0.5,1.71,0.0,
176,2022-01-01,Group stage,14,80,Signal Iduna Park,1,1,0,1,0,0.0,33.33,66.67,66.67,0.0,42.86,66.67,33.33,0.0,0.43,0.67,1.43,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.0,0.0,
177,2022-01-01,Group stage,28,10,Parc des Princes,1,1,0,1,0,66.67,33.33,0.0,33.33,33.33,57.14,66.67,0.0,33.33,0.57,0.67,2.14,0.0,,66.67,60.0,20.0,20.0,0.67,0.6,2.78,0.0,
178,2022-01-01,Group stage,2,11,Stadio Giuseppe Meazza,0,2,0,0,1,100.0,0.0,0.0,0.0,100.0,45.45,80.0,0.0,20.0,0.45,0.8,1.36,0.0,,44.44,60.0,20.0,20.0,0.44,0.6,1.11,0.0,
179,2022-01-01,Group stage,235,184,Stadion Maksimir,1,1,0,1,0,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,0.6,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,0.8,0.0,
180,2022-01-01,Group stage,92,1,Stadion Miejski Legii Warszawa im. Marsz...,1,1,0,1,0,57.14,0.0,42.86,28.57,71.43,20.0,0.0,50.0,50.0,0.2,0.0,1.4,0.0,,72.73,83.33,16.67,0.0,0.73,0.83,2.27,0.0,
181,2022-01-01,Group stage,90,6,Stadio Diego Armando Maradona,4,2,1,0,0,0.0,0.0,100.0,100.0,0.0,66.67,75.0,25.0,0.0,0.67,0.75,2.44,0.0,,40.0,33.33,0.0,66.67,0.4,0.33,1.8,0.0,
182,2022-01-01,Group stage,24,38,Estadio Cívitas Metropolitano,0,0,0,1,0,66.67,33.33,0.0,33.33,33.33,20.0,50.0,50.0,0.0,0.2,0.5,1.0,0.0,,42.86,50.0,0.0,50.0,0.43,0.5,1.14,0.0,
183,2022-01-01,Group stage,87,17,Estádio José Alvalade,0,2,0,0,1,100.0,0.0,0.0,0.0,100.0,40.0,50.0,0.0,50.0,0.4,0.5,1.6,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.2,0.0,
184,2022-01-01,Group stage,49,4,Ibrox Stadium,1,7,0,0,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.2,0.0,,57.14,75.0,0.0,25.0,0.57,0.75,1.71,0.0,
185,2022-01-01,Group stage,33,41,Tottenham Hotspur Stadium,3,2,1,0,0,0.0,100.0,0.0,0.0,0.0,28.57,33.33,66.67,0.0,0.29,0.33,0.71,0.0,,42.86,25.0,25.0,50.0,0.43,0.25,0.71,0.0,
186,2022-01-01,Group stage,299,3,Doosan Arena,2,4,0,0,1,66.67,0.0,33.33,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.6,0.0,,77.78,80.0,20.0,0.0,0.78,0.8,2.0,0.0,
187,2022-01-01,Group stage,37,12,BayArena,0,3,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,50.0,0.0,0.2,0.5,0.8,0.0,,42.86,50.0,25.0,25.0,0.43,0.5,1.29,0.0,
188,2022-01-01,Group stage,5,7,Camp Nou,3,3,0,1,0,66.67,22.22,11.11,55.56,22.22,40.0,50.0,0.0,50.0,0.4,0.5,1.8,0.0,,58.33,66.67,16.67,16.67,0.58,0.67,1.33,0.0,
189,2022-01-01,Group stage,80,153,Estadio Ramón Sánchez Pizjuán,3,0,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.6,0.0,,0.0,0.0,100.0,0.0,0.0,0.0,0.2,0.0,
190,2022-01-01,Group stage,184,11,Red Bull Arena,1,2,0,0,1,0.0,100.0,0.0,0.0,0.0,20.0,50.0,50.0,0.0,0.2,0.5,0.8,0.0,,44.44,60.0,20.0,20.0,0.44,0.6,1.11,0.0,
191,2022-01-01,Group stage,10,9,Estádio do Sport Lisboa e Benfica,4,3,1,0,0,0.0,0.0,100.0,100.0,0.0,55.56,50.0,25.0,25.0,0.56,0.5,2.44,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.2,0.0,
192,2022-01-01,Group stage,16,92,Celtic Park,1,1,0,1,0,80.0,20.0,0.0,40.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,0.6,0.0,,20.0,0.0,66.67,33.33,0.2,0.0,1.4,0.0,
193,2022-01-01,Group stage,28,298,Parc des Princes,7,2,1,0,0,0.0,0.0,100.0,100.0,0.0,42.86,33.33,33.33,33.33,0.43,0.33,1.29,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.0,0.0,
194,2022-01-01,Group stage,14,15,Signal Iduna Park,0,0,0,1,0,60.0,20.0,20.0,20.0,60.0,42.86,66.67,33.33,0.0,0.43,0.67,1.57,0.0,,66.67,100.0,0.0,0.0,0.67,1.0,2.67,0.0,
195,2022-01-01,Group stage,68,1,Red Bull Arena,3,2,1,0,0,33.33,33.33,33.33,0.0,66.67,42.86,33.33,33.33,33.33,0.43,0.33,1.57,0.0,,72.73,83.33,16.67,0.0,0.73,0.83,2.18,0.0,
196,2022-01-01,Group stage,235,2,Stadion Maksimir,0,4,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,50.0,0.0,0.2,0.5,0.8,0.0,,36.36,66.67,0.0,33.33,0.36,0.67,1.0,0.0,
197,2022-01-01,Group stage,38,12,Jan Breydelstadion,0,4,0,0,1,33.33,0.0,66.67,33.33,66.67,42.86,66.67,0.0,33.33,0.43,0.67,1.14,0.0,,42.86,50.0,25.0,25.0,0.43,0.5,1.14,0.0,
198,2022-01-01,Group stage,7,299,Stadio Giuseppe Meazza,4,0,1,0,0,0.0,0.0,100.0,100.0,0.0,50.0,60.0,20.0,20.0,0.5,0.6,1.25,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,
199,2022-01-01,Group stage,33,87,Tottenham Hotspur Stadium,1,1,0,1,0,100.0,0.0,0.0,0.0,100.0,42.86,66.67,33.33,0.0,0.43,0.67,1.0,0.0,,40.0,33.33,0.0,66.67,0.4,0.33,1.4,0.0,
200,2022-01-01,Group stage,41,17,Deutsche Bank Park,2,1,1,0,0,0.0,0.0,100.0,100.0,0.0,28.57,0.0,33.33,66.67,0.29,0.0,0.71,0.0,,40.0,33.33,0.0,66.67,0.4,0.33,1.4,0.0,
201,2022-01-01,Group stage,24,37,Estadio Cívitas Metropolitano,2,2,0,1,0,57.14,14.29,28.57,28.57,57.14,20.0,50.0,50.0,0.0,0.2,0.5,0.6,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,0.4,0.0,
202,2022-01-01,Group stage,5,3,Camp Nou,0,3,0,0,1,60.0,10.0,30.0,20.0,70.0,40.0,50.0,50.0,0.0,0.4,0.5,2.4,0.0,,77.78,80.0,20.0,0.0,0.78,0.8,2.11,0.0,
203,2022-01-01,Group stage,6,4,Johan Cruyff ArenA,0,3,0,0,1,66.67,0.0,33.33,0.0,100.0,40.0,50.0,0.0,50.0,0.4,0.5,2.2,0.0,,57.14,75.0,0.0,25.0,0.57,0.75,2.29,0.0,
204,2022-01-01,Group stage,90,49,Stadio Diego Armando Maradona,3,0,1,0,0,0.0,0.0,100.0,100.0,0.0,66.67,75.0,25.0,0.0,0.67,0.75,2.56,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,0.4,0.0,
205,2022-01-01,Group stage,12,24,Estádio Do Dragão,2,1,1,0,0,33.33,33.33,33.33,22.22,44.44,42.86,33.33,33.33,33.33,0.43,0.33,1.43,0.0,,20.0,33.33,66.67,0.0,0.2,0.33,0.8,0.0,
