,Tiempo Jugado,Rendimiento,Expectativa,Progresión,Por 90 Minutos,
Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Frans Krätzig,deGER,DF,21-033,4,0,56,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.5,0,7,7,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.84,0.42,0.84,Partidos
Ryan Gravenberch,nlNED,DL,21-276,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,1.92,1.92,0.00,1.92,Partidos
Lovro Zvonarek,hrCRO,CC,18-284,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Adam Aznou,esESP,DF,17-259,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Taichi Fukui,jpJPN,CC,19-216,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Tom Hülsmann,deGER,PO,19-311,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Noel Nkili,deGER,CC,18-086,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Benjamin Pavard,frFRA,DF,27-325,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Daniel Peretz,ilISR,PO,23-221,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Bryan Zaragoza,esESP,CC,22-297,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Total del equipo,,,28.0,21,231,"1,890",21.0,58,46,104,55,3,3,34,1,54.9,52.6,42.7,95.3,604,1203,1192,2.76,2.19,4.95,2.62,4.81,2.61,2.03,4.65,2.50,4.54,
Total del oponente,,,27.1,21,231,"1,890",21.0,22,14,36,20,2,3,40,3,17.3,14.9,10.8,25.7,290,580,574,1.05,0.67,1.71,0.95,1.62,0.82,0.52,1.34,0.71,1.23,
