idEntrenador,Pais,Apodo,Nombre,T,PJ,PG,PE,PP,%
205,,Sacchi,Arrigo Sacchi,3,22,12,7,3,54%31%15%
206,,Toppmöller,Dino Nicolas Toppmöller,3,6,0,2,4,33%67%
207,,Lehkosuo,Mika Lehkosuo,3,12,5,4,3,41%33%26%
208,,Leekens,Georges Leekens,3,10,4,4,2,40%40%20%
209,,Vičan,Michal Vičan,3,14,7,3,4,50%21%29%
210,,Ingebrigtsen,Kåre Hedley Ingebrigtsen,3,10,4,2,4,40%20%40%
211,,Hof,Erich Hof,3,8,1,3,4,12%37%51%
212,,Leduc,Lucien Leduc,3,10,2,2,6,20%20%60%
213,,Parola,Carlo Parola,3,13,6,2,5,46%15%39%
214,,Kovács,Ștefan Kovács,3,18,14,2,2,77%11%12%
215,,Riera,Fernando José Riera Bauzá,3,13,4,6,3,30%46%24%
216,,Čačić,Ante Čačić,3,23,6,6,11,26%26%48%
217,,Jaime Pacheco,Jaime Moreira Pacheco,3,24,7,8,9,29%33%38%
218,,Hagi,Gheorghe Hagi,3,9,5,1,3,55%11%34%
219,,Bílek,Michal Bílek,3,15,5,1,9,33%6%61%
220,,Van Marwijk,Lambertus van Marwijk,3,16,4,5,7,25%31%44%
221,,Oliveira,António Luís Alves Ribeiro de Oliveira,3,20,8,5,7,40%25%35%
222,,Guttmann,Béla Guttmann,3,22,14,3,5,63%13%24%
223,,Stanković,Dejan Stanković,3,11,5,3,3,45%27%28%
224,,Zekić,Zoran Zekić,3,6,2,1,3,33%16%51%
225,,Lampard,Frank James Lampard,3,16,7,4,5,43%25%32%
226,,Cherchesov,Stanislav Salamovich Cherchesov,3,10,2,5,3,20%50%30%
227,,Bukovi,Márton Bukovi,3,8,3,1,4,37%12%51%
228,,Terzić,Edin Terzić,3,19,7,7,5,36%36%28%
229,,Bradley,Stephen Bradley,3,8,3,1,4,37%12%51%
230,,Scala,Nevio Scala,3,22,10,6,6,45%27%28%
231,,Haan,Arend Haan,3,17,9,2,6,52%11%37%
232,,Sinibaldi,Pierre Auguste Sinibaldi,3,16,6,4,6,37%25%38%
233,,Okan,Okan Buruk,3,20,7,3,10,35%15%50%
234,,Bakhar,Barak Bakhar,3,20,4,4,12,20%20%60%
235,,Xavi,Xavier Hernández Creus,3,15,6,3,6,40%20%40%
236,,Broćić,Ljubiša Broćić,3,8,5,1,2,62%12%26%
237,,Vengloš,Jozef Vengloš,3,8,4,1,3,50%12%38%
238,,Wicky,Raphaël Wicky,3,17,7,2,8,41%11%48%
239,,Pavić,Milorad Pavić,3,10,3,3,4,30%30%40%
240,,Stoichiță,Mihai Cristian Stoichiță,3,12,4,3,5,33%25%42%
241,,Frühwirth,Eduard Frühwirth,3,14,7,2,5,50%14%36%
242,,Antić,Radomir Antić,3,16,7,4,5,43%25%32%
243,,Backe,Hans Roland Backe,3,8,3,2,3,37%25%38%
244,,Rehhagel,Otto Rehhagel,3,24,10,6,8,41%25%34%
245,,Sammer,Matthias Sammer,3,22,11,4,7,50%18%32%
246,,Weiler,René Weiler,3,7,0,4,3,57%43%
247,,Tumbaković,Ljubiša Tumbaković,3,8,2,2,4,25%25%50%
248,,McLeish,Alexander McLeish,3,20,5,9,6,25%45%30%
249,,Camacho,José Antonio Camacho Alfaro,3,12,5,1,6,41%8%51%
250,,Rocco,Nereo Rocco,3,20,14,1,5,70%5%25%
