Temporada,Ronda,Wk,Dia,Fecha,Hora,Local,Resultado,Visitante,Público,Evento,Árbitro,Reporte,Notas
Temporada,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2023-2024,Group stage,3,Tue,2023-10-24,21:00,Lensfr,1–1,nlPSV Eindhoven,"38,133",Stade Bollaert-Delelis,Radu Petrescu,Match Report,
2023-2024,Group stage,3,Tue,2023-10-24,21:00,Union Berlinde,0–1,itNapoli,"72,062",Olympiastadion Berlin,Irfan Peljto,Match Report,
2023-2024,Group stage,3,Wed,2023-10-25,18:45,Barcelonaes,2–1,uaShakhtar,"41,409",Estadi Olímpic Lluís Companys,Ivan Kružliak,Match Report,
2023-2024,Group stage,3,Wed,2023-10-25,18:45,Feyenoordnl,3–1,itLazio,"44,031",Stadion Feijenoord,Tobias Stieler,Match Report,
2023-2024,Group stage,3,Wed,2023-10-25,20:00,Celticsct,2–2,esAtlético Madrid,"55,844",Celtic Park,Felix Zwayer,Match Report,
2023-2024,Group stage,3,Wed,2023-10-25,20:00,Newcastle Utdeng,0–1,deDortmund,"52,024",St James' Park,Artur Soares Dias,Match Report,
2023-2024,Group stage,3,Wed,2023-10-25,21:00,Antwerpbe,1–4,ptPorto,"13,651",Bosuilstadion,Benoît Bastien,Match Report,
2023-2024,Group stage,3,Wed,2023-10-25,21:00,Young Boysch,1–3,engManchester City,"31,500",Stadion Wankdorf,Morten Krogh,Match Report,
2023-2024,Group stage,3,Wed,2023-10-25,21:00,Paris S-Gfr,3–0,itMilan,"45,962",Parc des Princes,Slavko Vinčič,Match Report,
2023-2024,Group stage,3,Wed,2023-10-25,21:00,RB Leipzigde,3–1,rsRed Star,"42,209",Red Bull Arena,José Sánchez,Match Report,
2023-2024,,,,,,,,,,,,,
2023-2024,Group stage,4,Tue,2023-11-07,18:45,Dortmundde,2–0,engNewcastle Utd,"81,365",Signal Iduna Park,Alejandro Hernández,Match Report,
2023-2024,Group stage,4,Tue,2023-11-07,19:45,Shakhtarua,1–0,esBarcelona,"49,147",Volksparkstadion,Irfan Peljto,Match Report,
2023-2024,Group stage,4,Tue,2023-11-07,20:00,Manchester Cityeng,3–0,chYoung Boys,"51,049",Etihad Stadium,Erik Lambrechts,Match Report,
2023-2024,Group stage,4,Tue,2023-11-07,20:00,Portopt,2–0,beAntwerp,"44,830",Estádio Do Dragão,Maurizio Mariani,Match Report,
2023-2024,Group stage,4,Tue,2023-11-07,21:00,Red Starrs,1–2,deRB Leipzig,"41,961",Stadion Rajko Mitić,Daniele Orsato,Match Report,
2023-2024,Group stage,4,Tue,2023-11-07,21:00,Milanit,2–1,frParis S-G,"75,649",Stadio Giuseppe Meazza,Jesús Gil,Match Report,
2023-2024,Group stage,4,Tue,2023-11-07,21:00,Atlético Madrides,6–0,sctCeltic,"60,863",Estadio Cívitas Metropolitano,Ivan Kružliak,Match Report,
2023-2024,Group stage,4,Tue,2023-11-07,21:00,Lazioit,1–0,nlFeyenoord,"36,612",Stadio Olimpico,Szymon Marciniak,Match Report,
2023-2024,Group stage,4,Wed,2023-11-08,18:45,Real Sociedades,3–1,ptBenfica,"36,815",Reale Arena,Anthony Taylor,Match Report,
2023-2024,Group stage,4,Wed,2023-11-08,18:45,Napoliit,1–1,deUnion Berlin,"42,449",Stadio Diego Armando Maradona,Danny Makkelie,Match Report,
2023-2024,Group stage,4,Wed,2023-11-08,20:00,Arsenaleng,2–0,esSevilla,"60,024",Arsenal Stadium,István Kovács,Match Report,
2023-2024,Group stage,4,Wed,2023-11-08,21:00,PSV Eindhovennl,1–0,frLens,"34,200",Philips Stadion,Daniel Siebert,Match Report,
2023-2024,Group stage,4,Wed,2023-11-08,21:00,RB Salzburgat,0–1,itInter,"30,071",Red Bull Arena,Serdar Gözübüyük,Match Report,
2023-2024,Group stage,4,Wed,2023-11-08,21:00,FC Copenhagendk,4–3,engManchester Utd,"36,099",Parken,Donatas Rumšas,Match Report,
2023-2024,Group stage,4,Wed,2023-11-08,21:00,Bayern Munichde,2–1,trGalatasaray,"75,000",Allianz Arena,António Nobre,Match Report,
2023-2024,Group stage,4,Wed,2023-11-08,21:00,Real Madrides,3–0,ptBraga,"68,509",Estadio Santiago Bernabéu,Halil Umut Meler,Match Report,
2023-2024,,,,,,,,,,,,,
2023-2024,Group stage,5,Tue,2023-11-28,18:45,Lazioit,2–0,sctCeltic,"50,555",Stadio Olimpico,Halil Umut Meler,Match Report,
2023-2024,Group stage,5,Tue,2023-11-28,19:45,Shakhtarua,1–0,beAntwerp,"47,209",Volksparkstadion (1953),Bartosz Frankowski,Match Report,
