Temporada,Ronda,Wk,Dia,Fecha,Hora,Local,Resultado,Visitante,Público,Evento,Árbitro,Reporte,Notas
Temporada,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2018-2019,Group stage,2,Tue,2018-10-02,20:00,Manchester Utdeng,0–0,esValencia,"73,569",Old Trafford,Slavko Vinčič,Match Report,
2018-2019,Group stage,2,Tue,2018-10-02,21:00,Bayern Munichde,1–1,nlAjax,"70,000",Allianz Arena,Pavel Královec,Match Report,
2018-2019,Group stage,2,Tue,2018-10-02,21:00,Lyonfr,2–2,uaShakhtar,,Groupama OL Academy Décines-Charpieu,Aleksandrs Golubevs,Match Report,
2018-2019,Group stage,2,Tue,2018-10-02,21:00,Romait,5–0,czViktoria Plzeň,"41,243",Stadio Olimpico,Paweł Raczkowski,Match Report,
2018-2019,Group stage,2,Tue,2018-10-02,22:00,CSKA Moscowru,1–0,esReal Madrid,"71,811",VEB Arena,Ovidiu Hațegan,Match Report,
2018-2019,Group stage,2,Tue,2018-10-02,22:00,AEK Athensgr,2–3,ptBenfica,"31,154",Olympiako Stadio Spyros Louis,Orel Grinfeeld,Match Report,
2018-2019,Group stage,2,Wed,2018-10-03,18:55,Paris S-Gfr,6–1,rsRed Star,"39,979",Parc des Princes,Artur Dias,Match Report,
2018-2019,Group stage,2,Wed,2018-10-03,19:55,Loko Moscowru,0–1,deSchalke 04,"21,471",RZD Arena,Anthony Taylor,Match Report,
2018-2019,Group stage,2,Wed,2018-10-03,20:00,Portopt,1–0,trGalatasaray,"42,711",Estádio Do Dragão,Michael Oliver,Match Report,
2018-2019,Group stage,2,Wed,2018-10-03,20:00,Tottenhameng,2–4,esBarcelona,"82,137",Wembley Stadium,Tobias Stieler,Match Report,
2018-2019,Group stage,2,Wed,2018-10-03,21:00,Dortmundde,3–0,frMonaco,"66,099",Signal Iduna Park,Aliaksei Kulbakou,Match Report,
2018-2019,Group stage,2,Wed,2018-10-03,21:00,PSV Eindhovennl,1–2,itInter,"34,750",Philips Stadion,Danilo Grujić,Match Report,
2018-2019,Group stage,2,Wed,2018-10-03,21:00,Napoliit,1–0,engLiverpool,"37,057",Stadio San Paolo,Sándor Andó-Szabó,Match Report,
2018-2019,Group stage,2,Wed,2018-10-03,21:00,Atlético Madrides,3–1,beClub Brugge,"55,742",Estadio Wanda Metropolitano,Filip Glova,Match Report,
2018-2019,,,,,,,,,,,,,
2018-2019,Group stage,3,Tue,2018-10-23,18:55,Young Boysch,1–1,esValencia,"31,120",Stade de Suisse Wankdorf Bern,Aleksandrs Anufrijevs,Match Report,
2018-2019,Group stage,3,Tue,2018-10-23,19:55,AEK Athensgr,0–2,deBayern Munich,"61,221",Olympiako Stadio Spyros Louis,Aliaksei Kulbakou,Match Report,
2018-2019,Group stage,3,Tue,2018-10-23,20:00,Manchester Utdeng,0–1,itJuventus,"73,946",Old Trafford,Danilo Grujić,Match Report,
2018-2019,Group stage,3,Tue,2018-10-23,21:00,Real Madrides,2–1,czViktoria Plzeň,"67,356",Estadio Santiago Bernabéu,Orel Grinfeeld,Match Report,
2018-2019,Group stage,3,Tue,2018-10-23,21:00,Romait,3–0,ruCSKA Moscow,"46,005",Stadio Olimpico,Tasos Sidiropoulos,Match Report,
2018-2019,Group stage,3,Tue,2018-10-23,21:00,Hoffenheimde,3–3,frLyon,"24,144",PreZero Arena,Alberto Undiano,Match Report,
2018-2019,Group stage,3,Tue,2018-10-23,21:00,Ajaxnl,1–0,ptBenfica,"52,489",Johan Cruyff ArenA,Ruddy Buquet,Match Report,
2018-2019,Group stage,3,Tue,2018-10-23,22:00,Shakhtarua,0–3,engManchester City,"37,106",Oblasny SportKomplex Metalist,Carlos del Cerro,Match Report,
2018-2019,Group stage,3,Wed,2018-10-24,18:55,Club Bruggebe,1–1,frMonaco,"23,957",Jan Breydelstadion,Michael Oliver,Match Report,
2018-2019,Group stage,3,Wed,2018-10-24,18:55,PSV Eindhovennl,2–2,engTottenham,"35,000",Philips Stadion,Slavko Vinčič,Match Report,
2018-2019,Group stage,3,Wed,2018-10-24,20:00,Liverpooleng,4–0,rsRed Star,"53,024",Anfield,Daniel Siebert,Match Report,
2018-2019,Group stage,3,Wed,2018-10-24,21:00,Barcelonaes,2–0,itInter,"86,290",Camp Nou,Ovidiu Hațegan,Match Report,
2018-2019,Group stage,3,Wed,2018-10-24,21:00,Paris S-Gfr,2–2,itNapoli,"46,274",Parc des Princes,Tobias Stieler,Match Report,
2018-2019,Group stage,3,Wed,2018-10-24,21:00,Dortmundde,4–0,esAtlético Madrid,"66,099",Signal Iduna Park,Anthony Taylor,Match Report,
2018-2019,Group stage,3,Wed,2018-10-24,22:00,Loko Moscowru,1–3,ptPorto,"16,034",RZD Arena,John Beaton,Match Report,
2018-2019,Group stage,3,Wed,2018-10-24,22:00,Galatasaraytr,0–0,deSchalke 04,"46,667",Türk Telekom Arena,Benoît Bastien,Match Report,
2018-2019,,,,,,,,,,,,,
2018-2019,Group stage,4,Tue,2018-11-06,18:55,Red Starrs,2–0,engLiverpool,"51,318",Stadion Rajko Mitić,Antonio Matéu Lahoz,Match Report,
2018-2019,Group stage,4,Tue,2018-11-06,18:55,Monacofr,0–4,beClub Brugge,"8,347",Stade Louis II.,Hugo Miguel,Match Report,
2018-2019,Group stage,4,Tue,2018-11-06,20:00,Portopt,4–1,ruLoko Moscow,"34,616",Estádio Do Dragão,Massimiliano Irrati,Match Report,
2018-2019,Group stage,4,Tue,2018-11-06,20:00,Tottenhameng,2–1,nlPSV Eindhoven,"46,588",Wembley Stadium,Filip Glova,Match Report,
2018-2019,Group stage,4,Tue,2018-11-06,21:00,Napoliit,1–1,frParis S-G,"55,489",Stadio San Paolo,Björn Kuipers,Match Report,
2018-2019,Group stage,4,Tue,2018-11-06,21:00,Schalke 04de,2–0,trGalatasaray,"54,740",Veltins-Arena,William Collum,Match Report,
2018-2019,Group stage,4,Tue,2018-11-06,21:00,Atlético Madrides,2–0,deDortmund,"61,023",Estadio Wanda Metropolitano,Daniele Orsato,Match Report,
2018-2019,Group stage,4,Tue,2018-11-06,21:00,Interit,1–1,esBarcelona,"70,915",Stadio Giuseppe Meazza,Szymon Marciniak,Match Report,
2018-2019,Group stage,4,Wed,2018-11-07,18:55,Valenciaes,3–1,chYoung Boys,"36,480",Estadio de Mestalla,István Kovács,Match Report,
2018-2019,Group stage,4,Wed,2018-11-07,20:00,Benficapt,1–1,nlAjax,"51,328",Estádio do Sport Lisboa e Benfica,Luca Banti,Match Report,
2018-2019,Group stage,4,Wed,2018-11-07,20:00,Manchester Cityeng,6–0,uaShakhtar,"52,286",Etihad Stadium,Sándor Andó-Szabó,Match Report,
2018-2019,Group stage,4,Wed,2018-11-07,20:55,CSKA Moscowru,1–2,itRoma,"64,454",VEB Arena,Baris Şimşek,Match Report,
2018-2019,Group stage,4,Wed,2018-11-07,21:00,Viktoria Plzeňcz,0–5,esReal Madrid,"11,483",Doosan Arena,Deniz Aytekin,Match Report,
2018-2019,Group stage,4,Wed,2018-11-07,21:00,Bayern Munichde,2–0,grAEK Athens,"70,000",Allianz Arena,Slavko Vinčič,Match Report,
2018-2019,Group stage,4,Wed,2018-11-07,21:00,Lyonfr,2–2,deHoffenheim,"53,850",Groupama Stadium,Danny Makkelie,Match Report,
2018-2019,Group stage,4,Wed,2018-11-07,21:00,Juventusit,1–2,engManchester Utd,"41,470",Allianz Stadium,Ovidiu Hațegan,Match Report,
2018-2019,,,,,,,,,,,,,
2018-2019,Group stage,5,Tue,2018-11-27,19:55,AEK Athensgr,0–2,nlAjax,"25,756",Olympiako Stadio Spyros Louis,Michael Oliver,Match Report,
2018-2019,Group stage,5,Tue,2018-11-27,20:00,Manchester Utdeng,1–0,chYoung Boys,"72,876",Old Trafford,Felix Brych,Match Report,
2018-2019,Group stage,5,Tue,2018-11-27,20:55,CSKA Moscowru,1–2,czViktoria Plzeň,"52,892",VEB Arena,Jochem Kamphuis,Match Report,
2018-2019,Group stage,5,Tue,2018-11-27,21:00,Romait,0–2,esReal Madrid,"59,124",Stadio Olimpico,Ruddy Buquet,Match Report,
2018-2019,Group stage,5,Tue,2018-11-27,21:00,Juventusit,1–0,esValencia,"39,070",Allianz Stadium,William Collum,Match Report,
2018-2019,Group stage,5,Tue,2018-11-27,21:00,Lyonfr,2–2,engManchester City,"56,039",Groupama Stadium,Luca Banti,Match Report,
2018-2019,Group stage,5,Tue,2018-11-27,21:00,Hoffenheimde,2–3,uaShakhtar,"22,920",PreZero Arena,Filip Glova,Match Report,
2018-2019,Group stage,5,Tue,2018-11-27,21:00,Bayern Munichde,5–1,ptBenfica,"70,000",Allianz Arena,Daniele Orsato,Match Report,
2018-2019,Group stage,5,Wed,2018-11-28,18:55,Atlético Madrides,2–0,frMonaco,"56,314",Estadio Wanda Metropolitano,Mattias Gestranius,Match Report,
2018-2019,Group stage,5,Wed,2018-11-28,20:00,Tottenhameng,1–0,itInter,"57,132",Wembley Stadium,Baris Şimşek,Match Report,
2018-2019,Group stage,5,Wed,2018-11-28,20:00,Portopt,3–1,deSchalke 04,"41,603",Estádio Do Dragão,Ovidiu Hațegan,Match Report,
2018-2019,Group stage,5,Wed,2018-11-28,20:55,Loko Moscowru,2–0,trGalatasaray,"14,037",RZD Arena,Antonio Matéu Lahoz,Match Report,
2018-2019,Group stage,5,Wed,2018-11-28,21:00,Paris S-Gfr,2–1,engLiverpool,"46,880",Parc des Princes,Tomasz Musiał,Match Report,
2018-2019,Group stage,5,Wed,2018-11-28,21:00,Dortmundde,0–0,beClub Brugge,"66,099",Signal Iduna Park,Gediminas Mažeika,Match Report,
2018-2019,Group stage,5,Wed,2018-11-28,21:00,Napoliit,3–1,rsRed Star,"44,470",Stadio San Paolo,Ricardo de Burgos,Match Report,
2018-2019,Group stage,5,Wed,2018-11-28,21:00,PSV Eindhovennl,1–2,esBarcelona,"34,600",Philips Stadion,Miroslav Zelinka,Match Report,
2018-2019,,,,,,,,,,,,,
2018-2019,Group stage,6,Tue,2018-12-11,18:55,Schalke 04de,1–0,ruLoko Moscow,"48,883",Veltins-Arena,Tasos Sidiropoulos,Match Report,
2018-2019,Group stage,6,Tue,2018-12-11,20:00,Liverpooleng,1–0,itNapoli,"52,015",Anfield,Damir Skomina,Match Report,
2018-2019,Group stage,6,Tue,2018-12-11,20:55,Galatasaraytr,2–3,ptPorto,"33,972",Türk Telekom Arena,Aliaksei Kulbakou,Match Report,
2018-2019,Group stage,6,Tue,2018-12-11,21:00,Red Starrs,1–4,frParis S-G,"48,357",Stadion Rajko Mitić,William Collum,Match Report,
2018-2019,Group stage,6,Tue,2018-12-11,21:00,Monacofr,0–2,deDortmund,"8,731",Stade Louis II.,Craig Pawson,Match Report,
2018-2019,Group stage,6,Tue,2018-12-11,21:00,Club Bruggebe,0–0,esAtlético Madrid,"25,645",Jan Breydelstadion,Davide Massa,Match Report,
2018-2019,Group stage,6,Tue,2018-12-11,21:00,Barcelonaes,1–1,engTottenham,"69,961",Camp Nou,Milorad Mažić,Match Report,
2018-2019,Group stage,6,Tue,2018-12-11,21:00,Interit,1–1,nlPSV Eindhoven,"62,533",Stadio Giuseppe Meazza,Felix Zwayer,Match Report,
2018-2019,Group stage,6,Wed,2018-12-12,18:55,Viktoria Plzeňcz,2–1,itRoma,"11,217",Doosan Arena,Anthony Taylor,Match Report,
2018-2019,Group stage,6,Wed,2018-12-12,18:55,Real Madrides,0–3,ruCSKA Moscow,"51,636",Estadio Santiago Bernabéu,Hugo Miguel,Match Report,
2018-2019,Group stage,6,Wed,2018-12-12,20:00,Manchester Cityeng,2–1,deHoffenheim,"50,411",Etihad Stadium,Andreas Ekberg,Match Report,
2018-2019,Group stage,6,Wed,2018-12-12,20:00,Benficapt,1–0,grAEK Athens,"33,633",Estádio do Sport Lisboa e Benfica,Bobby Madden,Match Report,
2018-2019,Group stage,6,Wed,2018-12-12,21:00,Valenciaes,2–1,engManchester Utd,"36,544",Estadio de Mestalla,Georgi Kabakov,Match Report,
2018-2019,Group stage,6,Wed,2018-12-12,21:00,Young Boysch,2–1,itJuventus,"30,114",Stade de Suisse Wankdorf Bern,Tobias Stieler,Match Report,
2018-2019,Group stage,6,Wed,2018-12-12,21:00,Ajaxnl,3–3,deBayern Munich,"52,244",Johan Cruyff ArenA,Clément Turpin,Match Report,
2018-2019,Group stage,6,Wed,2018-12-12,22:00,Shakhtarua,1–1,frLyon,"38,916",NSK Olimpijs'kyj,Björn Kuipers,Match Report,
2018-2019,,,,,,,,,,,,,
2018-2019,Round of 16,,Tue,2019-02-12,20:00,Manchester Utdeng,0–2,frParis S-G,"74,054",Old Trafford,Daniele Orsato,Match Report,Leg 1 of 2
2018-2019,Round of 16,,Tue,2019-02-12,21:00,Romait,2–1,ptPorto,"51,727",Stadio Olimpico,Jochem Kamphuis,Match Report,Leg 1 of 2
2018-2019,Round of 16,,Wed,2019-02-13,20:00,Tottenhameng,3–0,deDortmund,"71,214",Wembley Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2018-2019,Round of 16,,Wed,2019-02-13,21:00,Ajaxnl,1–2,esReal Madrid,"52,286",Johan Cruyff ArenA,Szymon Marciniak,Match Report,Leg 1 of 2
2018-2019,Round of 16,,Tue,2019-02-19,20:00,Liverpooleng,0–0,deBayern Munich,"52,250",Anfield,Gianluca Rocchi,Match Report,Leg 1 of 2
2018-2019,Round of 16,,Tue,2019-02-19,21:00,Lyonfr,0–0,esBarcelona,"57,889",Groupama Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
2018-2019,Round of 16,,Wed,2019-02-20,21:00,Schalke 04de,2–3,engManchester City,"54,417",Veltins-Arena,Alejandro Hernández,Match Report,Leg 1 of 2
2018-2019,Round of 16,,Wed,2019-02-20,21:00,Atlético Madrides,2–0,itJuventus,"67,193",Estadio Wanda Metropolitano,Felix Zwayer,Match Report,Leg 1 of 2
2018-2019,Round of 16,,Tue,2019-03-05,21:00,Real Madrides,1–4,nlAjax,"77,013",Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 2 of 2; Ajax won
2018-2019,Round of 16,,Tue,2019-03-05,21:00,Dortmundde,0–1,engTottenham,"66,099",Signal Iduna Park,Danny Makkelie,Match Report,Leg 2 of 2; Tottenham won
2018-2019,Round of 16,,Wed,2019-03-06,20:00,Portopt,3–1,itRoma,"49,029",Estádio Do Dragão,Paweł Gil,Match Report,Leg 2 of 2; Porto won; Required Extra Time
2018-2019,Round of 16,,Wed,2019-03-06,21:00,Paris S-Gfr,1–3,engManchester Utd,"47,441",Parc des Princes,Damir Skomina,Match Report,Leg 2 of 2; Manchester Utd won
2018-2019,Round of 16,,Tue,2019-03-12,20:00,Manchester Cityeng,7–0,deSchalke 04,"51,518",Etihad Stadium,Clément Turpin,Match Report,Leg 2 of 2; Manchester City won
2018-2019,Round of 16,,Tue,2019-03-12,21:00,Juventusit,3–0,esAtlético Madrid,"40,884",Allianz Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won
2018-2019,Round of 16,,Wed,2019-03-13,21:00,Barcelonaes,5–1,frLyon,"92,346",Camp Nou,Szymon Marciniak,Match Report,Leg 2 of 2; Barcelona won
2018-2019,Round of 16,,Wed,2019-03-13,21:00,Bayern Munichde,1–3,engLiverpool,"68,145",Allianz Arena,Daniele Orsato,Match Report,Leg 2 of 2; Liverpool won
2018-2019,Quarter-finals,,Tue,2019-04-09,20:00,Liverpooleng,2–0,ptPorto,"52,465",Anfield,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2018-2019,Quarter-finals,,Tue,2019-04-09,20:00,Tottenhameng,1–0,engManchester City,"60,044",Tottenham Hotspur Stadium,Björn Kuipers,Match Report,Leg 1 of 2
2018-2019,Quarter-finals,,Wed,2019-04-10,20:00,Manchester Utdeng,0–1,esBarcelona,"74,093",Old Trafford,Gianluca Rocchi,Match Report,Leg 1 of 2
2018-2019,Quarter-finals,,Wed,2019-04-10,21:00,Ajaxnl,1–1,itJuventus,"50,390",Johan Cruyff ArenA,Carlos del Cerro,Match Report,Leg 1 of 2
2018-2019,Quarter-finals,,Tue,2019-04-16,21:00,Juventusit,1–2,nlAjax,"41,445",Allianz Stadium,Clément Turpin,Match Report,Leg 2 of 2; Ajax won
2018-2019,Quarter-finals,,Tue,2019-04-16,21:00,Barcelonaes,3–0,engManchester Utd,"96,708",Camp Nou,Felix Brych,Match Report,Leg 2 of 2; Barcelona won
2018-2019,Quarter-finals,,Wed,2019-04-17,20:00,Portopt,1–4,engLiverpool,"49,117",Estádio Do Dragão,Danny Makkelie,Match Report,Leg 2 of 2; Liverpool won
2018-2019,Quarter-finals,,Wed,2019-04-17,20:00,Manchester Cityeng,4–3,engTottenham,"53,348",Etihad Stadium,Cüneyt Çakιr,Match Report,Leg 2 of 2; Tottenham won
2018-2019,Semi-finals,,Tue,2019-04-30,20:00,Tottenhameng,0–1,nlAjax,"60,243",Tottenham Hotspur Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2018-2019,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2018-2019,Semi-finals,,Wed,2019-05-01,21:00,Barcelonaes,3–0,engLiverpool,"98,299",Camp Nou,Björn Kuipers,Match Report,Leg 1 of 2
2018-2019,Semi-finals,,Tue,2019-05-07,20:00,Liverpooleng,4–0,esBarcelona,"55,212",Anfield,Cüneyt Çakιr,Match Report,Leg 2 of 2; Liverpool won
2018-2019,Semi-finals,,Wed,2019-05-08,21:00,Ajaxnl,2–3,engTottenham,"52,641",Johan Cruyff ArenA,Felix Brych,Match Report,Leg 2 of 2; Tottenham won
2018-2019,Final,,Sat,2019-06-01,21:00,Tottenhameng,0–2,engLiverpool,"63,272",Estadio Wanda Metropolitano (Neutral Site),Damir Skomina,Match Report,
Temporada,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2017-2018,Group stage,1,Tue,2017-09-12,19:45,Chelseaeng,6–0,azQarabağ,"41,150",Stamford Bridge,Tasos Sidiropoulos,Match Report,
2017-2018,Group stage,1,Tue,2017-09-12,19:45,Celticsct,0–5,frParis S-G,"57,562",Celtic Park,Daniele Orsato,Match Report,
2017-2018,Group stage,1,Tue,2017-09-12,19:45,Manchester Utdeng,3–0,chBasel,"73,854",Old Trafford,Ruddy Buquet,Match Report,
2017-2018,Group stage,1,Tue,2017-09-12,19:45,Benficapt,1–2,ruCSKA Moscow,"38,323",Estádio do Sport Lisboa e Benfica,Alberto Undiano,Match Report,
2017-2018,Group stage,1,Tue,2017-09-12,20:45,Romait,0–0,esAtlético Madrid,"36,064",Stadio Olimpico,Milorad Mažić,Match Report,
2017-2018,Group stage,1,Tue,2017-09-12,20:45,Barcelonaes,3–0,itJuventus,"78,656",Camp Nou,Damir Skomina,Match Report,
2017-2018,Group stage,1,Tue,2017-09-12,20:45,Bayern Munichde,3–0,beAnderlecht,"70,000",Allianz Arena,Paolo Tagliavento,Match Report,
2017-2018,Group stage,1,Tue,2017-09-12,21:45,Olympiacosgr,2–3,ptSporting CP,"30,168",Stadio Georgios Karaiskáki,Viktor Kassai,Match Report,
2017-2018,Group stage,1,Wed,2017-09-13,19:45,Portopt,1–3,trBeşiktaş,"42,429",Estádio Do Dragão,Anthony Taylor,Match Report,
2017-2018,Group stage,1,Wed,2017-09-13,19:45,Liverpooleng,2–2,esSevilla,"52,332",Anfield,Danny Makkelie,Match Report,
2017-2018,Group stage,1,Wed,2017-09-13,19:45,Tottenhameng,3–1,deDortmund,"67,343",Wembley Stadium,Gianluca Rocchi,Match Report,
2017-2018,Group stage,1,Wed,2017-09-13,20:45,NK Mariborsi,1–1,ruSpartak Moscow,"12,566",Ljudski vrt,Deniz Aytekin,Match Report,
2017-2018,Group stage,1,Wed,2017-09-13,20:45,Feyenoordnl,0–4,engManchester City,"43,500",Stadion Feijenoord,Szymon Marciniak,Match Report,
2017-2018,Group stage,1,Wed,2017-09-13,20:45,RB Leipzigde,1–1,frMonaco,"40,068",Red Bull Arena,Michael Oliver,Match Report,
2017-2018,Group stage,1,Wed,2017-09-13,20:45,Real Madrides,3–0,cyAPOEL FC,"71,060",Estadio Santiago Bernabéu,Benoît Bastien,Match Report,
2017-2018,Group stage,1,Wed,2017-09-13,21:45,Shakhtarua,2–1,itNapoli,"32,679",L'viv Arena,Felix Zwayer,Match Report,
2017-2018,,,,,,,,,,,,,
2017-2018,Group stage,2,Tue,2017-09-26,19:45,Manchester Cityeng,2–0,uaShakhtar,"45,310",Academy Stadium,Jorge de Sousa,Match Report,
2017-2018,Group stage,2,Tue,2017-09-26,20:45,Sevillaes,3–0,siNK Maribor,"34,705",Estadio Ramón Sánchez Pizjuán,Aliaksei Kulbakov,Match Report,
2017-2018,Group stage,2,Tue,2017-09-26,20:45,Dortmundde,1–3,esReal Madrid,"65,849",Signal Iduna Park,Björn Kuipers,Match Report,
2017-2018,Group stage,2,Tue,2017-09-26,20:45,Monacofr,0–3,ptPorto,"11,703",Stade Louis II.,Slavko Vinčić,Match Report,
2017-2018,Group stage,2,Tue,2017-09-26,20:45,Napoliit,3–1,nlFeyenoord,"22,577",Stadio San Paolo,William Collum,Match Report,
2017-2018,Group stage,2,Tue,2017-09-26,21:45,Spartak Moscowru,1–1,engLiverpool,"43,376",Otkrytie Arena,Clément Turpin,Match Report,
2017-2018,Group stage,2,Tue,2017-09-26,21:45,Beşiktaştr,2–0,deRB Leipzig,"36,641",Vodafone Arena,Sergey Karasev,Match Report,
2017-2018,Group stage,2,Tue,2017-09-26,21:45,APOEL FCcy,0–3,engTottenham,"16,324",Neo GSP,Pavel Královec,Match Report,
2017-2018,Group stage,2,Thu,2017-09-28,00:45,CSKA Moscowru,1–4,engManchester Utd,"29,073",Stadion CSKA,Jonas Eriksson,Match Report,
2017-2018,Group stage,2,Wed,2017-09-27,19:45,Sporting CPpt,0–1,esBarcelona,"48,575",Estádio José Alvalade,Ovidiu Hațegan,Match Report,
2017-2018,Group stage,2,Wed,2017-09-27,20:00,Qarabağaz,1–2,itRoma,"67,200",Bakı Olimpiya Stadionu,Artur Soares Dias,Match Report,
2017-2018,Group stage,2,Wed,2017-09-27,20:45,Atlético Madrides,1–2,engChelsea,"60,643",Estadio Wanda Metropolitano,Cüneyt Çakιr,Match Report,
2017-2018,Group stage,2,Wed,2017-09-27,20:45,Juventusit,2–0,grOlympiacos,"33,460",Allianz Stadium,Tobias Stieler,Match Report,
2017-2018,Group stage,2,Wed,2017-09-27,20:45,Baselch,5–0,ptBenfica,"34,111",St. Jakob-Park,Craig Thomson,Match Report,
2017-2018,Group stage,2,Wed,2017-09-27,20:45,Paris S-Gfr,3–0,deBayern Munich,"46,252",Parc des Princes,Antonio Matéu Lahoz,Match Report,
2017-2018,Group stage,2,Wed,2017-09-27,20:45,Anderlechtbe,0–3,sctCeltic,"19,898",Stade Constant Vanden Stock,Jesús Gil,Match Report,
2017-2018,,,,,,,,,,,,,
2017-2018,Group stage,3,Tue,2017-10-17,19:45,Manchester Cityeng,2–1,itNapoli,"48,520",Etihad Stadium,Antonio Matéu Lahoz,Match Report,
2017-2018,Group stage,3,Tue,2017-10-17,20:45,Feyenoordnl,1–2,uaShakhtar,"43,500",Stadion Feijenoord,Alberto Undiano,Match Report,
2017-2018,Group stage,3,Tue,2017-10-17,20:45,Monacofr,1–2,trBeşiktaş,"7,403",Stade Louis II.,Milorad Mažić,Match Report,
2017-2018,Group stage,3,Tue,2017-10-17,20:45,RB Leipzigde,3–2,ptPorto,"41,496",Red Bull Arena,Paolo Tagliavento,Match Report,
2017-2018,Group stage,3,Tue,2017-10-17,20:45,Real Madrides,1–1,engTottenham,"76,589",Estadio Santiago Bernabéu,Szymon Marciniak,Match Report,
2017-2018,Group stage,3,Tue,2017-10-17,20:45,NK Mariborsi,0–7,engLiverpool,"12,506",Ljudski vrt,Viktor Kassai,Match Report,
2017-2018,Group stage,3,Tue,2017-10-17,21:45,Spartak Moscowru,5–1,esSevilla,"44,307",Otkrytie Arena,Gianluca Rocchi,Match Report,
2017-2018,Group stage,3,Tue,2017-10-17,21:45,APOEL FCcy,1–1,deDortmund,"15,604",Neo GSP,Aliaksei Kulbakov,Match Report,
2017-2018,Group stage,3,Wed,2017-10-18,19:45,Benficapt,0–1,engManchester Utd,"57,684",Estádio do Sport Lisboa e Benfica,Felix Zwayer,Match Report,
2017-2018,Group stage,3,Wed,2017-10-18,19:45,Chelseaeng,3–3,itRoma,"41,105",Stamford Bridge,Damir Skomina,Match Report,
2017-2018,Group stage,3,Wed,2017-10-18,20:00,Qarabağaz,0–0,esAtlético Madrid,"47,923",Bakı Olimpiya Stadionu,Ruddy Buquet,Match Report,
2017-2018,Group stage,3,Wed,2017-10-18,20:45,Barcelonaes,3–1,grOlympiacos,"55,026",Camp Nou,William Collum,Match Report,
2017-2018,Group stage,3,Wed,2017-10-18,20:45,Anderlechtbe,0–4,frParis S-G,"19,108",Stade Constant Vanden Stock,Pavel Královec,Match Report,
2017-2018,Group stage,3,Wed,2017-10-18,20:45,Bayern Munichde,3–0,sctCeltic,"70,000",Allianz Arena,Sergey Karasev,Match Report,
2017-2018,Group stage,3,Wed,2017-10-18,20:45,Juventusit,2–1,ptSporting CP,"36,288",Allianz Stadium,Michael Oliver,Match Report,
2017-2018,Group stage,3,Wed,2017-10-18,21:45,CSKA Moscowru,0–2,chBasel,"27,996",VEB Arena,Björn Kuipers,Match Report,
2017-2018,,,,,,,,,,,,,
2017-2018,Group stage,4,Tue,2017-10-31,19:45,Celticsct,1–2,deBayern Munich,"58,269",Celtic Park,Danny Makkelie,Match Report,
2017-2018,Group stage,4,Tue,2017-10-31,19:45,Sporting CPpt,1–1,itJuventus,"48,442",Estádio José Alvalade,Clément Turpin,Match Report,
2017-2018,Group stage,4,Tue,2017-10-31,19:45,Manchester Utdeng,2–0,ptBenfica,"74,437",Old Trafford,Gediminas Mažeika,Match Report,
2017-2018,Group stage,4,Tue,2017-10-31,20:45,Paris S-Gfr,5–0,beAnderlecht,"46,403",Parc des Princes,David Fernández,Match Report,
2017-2018,Group stage,4,Tue,2017-10-31,20:45,Atlético Madrides,1–1,azQarabağ,"55,893",Estadio Wanda Metropolitano,Deniz Aytekin,Match Report,
2017-2018,Group stage,4,Tue,2017-10-31,20:45,Romait,3–0,engChelsea,"55,036",Stadio Olimpico,Jonas Eriksson,Match Report,
2017-2018,Group stage,4,Tue,2017-10-31,20:45,Baselch,1–2,ruCSKA Moscow,"33,303",St. Jakob-Park,Milorad Mažić,Match Report,
2017-2018,Group stage,4,Tue,2017-10-31,21:45,Olympiacosgr,0–0,esBarcelona,"31,600",Stadio Georgios Karaiskáki,Anthony Taylor,Match Report,
2017-2018,Group stage,4,Wed,2017-11-01,19:45,Tottenhameng,3–1,esReal Madrid,"83,782",Wembley Stadium,Cüneyt Çakιr,Match Report,
2017-2018,Group stage,4,Wed,2017-11-01,19:45,Portopt,3–1,deRB Leipzig,"41,616",Estádio Do Dragão,Ovidiu Hațegan,Match Report,
2017-2018,Group stage,4,Wed,2017-11-01,19:45,Liverpooleng,3–0,siNK Maribor,"47,957",Anfield,Ivan Kružliak,Match Report,
2017-2018,Group stage,4,Wed,2017-11-01,20:00,Beşiktaştr,1–1,frMonaco,"39,346",Vodafone Arena,Paolo Tagliavento,Match Report,
2017-2018,Group stage,4,Wed,2017-11-01,20:45,Sevillaes,2–1,ruSpartak Moscow,"38,002",Estadio Ramón Sánchez Pizjuán,Artur Soares Dias,Match Report,
2017-2018,Group stage,4,Wed,2017-11-01,20:45,Dortmundde,1–1,cyAPOEL FC,"64,500",Fußballpark BVB Hohenbuschei,Matej Jug,Match Report,
